index,date,description,event_id,away_team,home_team,julian_day
805,2014-11-15T00:00:00Z,Milwaukee Bucks at Orlando Magic Tickets,9107583,Milwaukee Bucks,Orlando Magic,2014_319
806,2014-11-30T20:00:00Z,Chicago Bulls at Brooklyn Nets Tickets,9106956,Chicago Bulls,Brooklyn Nets,2014_334
807,2014-11-10T01:00:00Z,Golden State Warriors at Phoenix Suns Tickets,9107614,Golden State Warriors,Phoenix Suns,2014_314
808,2014-12-23T01:00:00Z,Toronto Raptors at Chicago Bulls Tickets,9107099,Toronto Raptors,Chicago Bulls,2014_357
809,2015-03-23T23:30:00Z,Memphis Grizzlies at New York Knicks Tickets,9106893,Memphis Grizzlies,New York Knicks,2015_082
810,2014-11-23T00:30:00Z,Philadelphia 76ers at New York Knicks Tickets,9106801,Philadelphia 76ers,New York Knicks,2014_327
811,2015-01-04T02:00:00Z,Memphis Grizzlies at Denver Nuggets Tickets,9107528,Memphis Grizzlies,Denver Nuggets,2015_004
812,2014-11-23T01:30:00Z,Brooklyn Nets at San Antonio Spurs Tickets,9107533,Brooklyn Nets,San Antonio Spurs,2014_327
813,2015-01-23T01:00:00Z,San Antonio Spurs at Chicago Bulls Tickets,9107125,San Antonio Spurs,Chicago Bulls,2015_023
814,2014-12-09T03:30:00Z,Phoenix Suns at Los Angeles Clippers Tickets,9106829,Phoenix Suns,Los Angeles Clippers,2014_343
815,2014-12-27T20:30:00Z,Toronto Raptors at Los Angeles Clippers Tickets,9106842,Toronto Raptors,Los Angeles Clippers,2014_361
816,2014-12-23T01:30:00Z,Los Angeles Clippers at San Antonio Spurs Tickets,9107492,Los Angeles Clippers,San Antonio Spurs,2014_357
817,2014-12-18T01:30:00Z,Memphis Grizzlies at San Antonio Spurs Tickets,9107486,Memphis Grizzlies,San Antonio Spurs,2014_352
818,2014-12-13T02:30:00Z,Los Angeles Lakers at San Antonio Spurs Tickets,9107498,Los Angeles Lakers,San Antonio Spurs,2014_347
819,2015-01-01T00:00:00Z,New Orleans Pelicans at San Antonio Spurs Tickets,9107467,New Orleans Pelicans,San Antonio Spurs,2015_001
820,2014-12-11T01:00:00Z,New York Knicks at San Antonio Spurs Tickets,9107466,New York Knicks,San Antonio Spurs,2014_345
821,2015-02-07T02:30:00Z,Miami Heat at San Antonio Spurs Tickets,9107480,Miami Heat,San Antonio Spurs,2015_038
822,2014-12-27T01:30:00Z,Los Angeles Lakers at Dallas Mavericks Tickets,9107064,Los Angeles Lakers,Dallas Mavericks,2014_361
823,2015-03-25T00:00:00Z,Los Angeles Lakers at Oklahoma City Thunder Tickets,9107196,Los Angeles Lakers,Oklahoma City Thunder,2015_084
824,2015-02-08T19:00:00Z,Los Angeles Clippers at Oklahoma City Thunder Tickets,9107193,Los Angeles Clippers,Oklahoma City Thunder,2015_039
825,2014-12-02T03:30:00Z,Minnesota Timberwolves at Los Angeles Clippers Tickets,9106822,Minnesota Timberwolves,Los Angeles Clippers,2014_336
826,2015-03-03T00:30:00Z,Golden State Warriors at Brooklyn Nets Tickets,9107011,Golden State Warriors,Brooklyn Nets,2015_062
827,2014-12-20T01:00:00Z,Portland Trail Blazers at San Antonio Spurs Tickets,9107448,Portland Trail Blazers,San Antonio Spurs,2014_354
828,2014-12-06T01:30:00Z,Miami Heat at Milwaukee Bucks Tickets,9107703,Miami Heat,Milwaukee Bucks,2014_340
829,2014-12-26T03:30:00Z,Golden State Warriors at Los Angeles Clippers Tickets,9106840,Golden State Warriors,Los Angeles Clippers,2014_360
830,2014-11-27T01:30:00Z,Indiana Pacers at San Antonio Spurs Tickets,9107501,Indiana Pacers,San Antonio Spurs,2014_331
831,2014-12-29T00:00:00Z,Houston Rockets at San Antonio Spurs Tickets,9107504,Houston Rockets,San Antonio Spurs,2014_363
832,2014-12-29T00:30:00Z,Oklahoma City Thunder at Dallas Mavericks Tickets,9107102,Oklahoma City Thunder,Dallas Mavericks,2014_363
833,2015-03-15T17:00:00Z,Chicago Bulls at Oklahoma City Thunder Tickets,9107132,Chicago Bulls,Oklahoma City Thunder,2015_074
834,2015-04-05T17:00:00Z,Houston Rockets at Oklahoma City Thunder Tickets,9107155,Houston Rockets,Oklahoma City Thunder,2015_095
835,2015-02-22T01:00:00Z,Phoenix Suns at Chicago Bulls Tickets,9107140,Phoenix Suns,Chicago Bulls,2015_053
836,2015-01-18T01:00:00Z,Atlanta Hawks at Chicago Bulls Tickets,9107121,Atlanta Hawks,Chicago Bulls,2015_018
837,2014-12-13T00:30:00Z,New York Knicks at Boston Celtics Tickets,9107047,New York Knicks,Boston Celtics,2014_347
838,2014-11-10T00:00:00Z,Sacramento Kings at Oklahoma City Thunder Tickets,9107182,Sacramento Kings,Oklahoma City Thunder,2014_314
839,2015-01-03T00:00:00Z,Cleveland Cavaliers at Charlotte Hornets Tickets,9107880,Cleveland Cavaliers,Charlotte Hornets,2015_003
840,2014-12-09T00:30:00Z,Denver Nuggets at Toronto Raptors Tickets,9107613,Denver Nuggets,Toronto Raptors,2014_343
841,2014-11-22T00:30:00Z,Milwaukee Bucks at Toronto Raptors Tickets,9107600,Milwaukee Bucks,Toronto Raptors,2014_326
842,2015-01-10T03:00:00Z,Denver Nuggets at Sacramento Kings Tickets,9107211,Denver Nuggets,Sacramento Kings,2015_010
843,2014-11-19T03:00:00Z,New Orleans Pelicans at Sacramento Kings Tickets,9107217,New Orleans Pelicans,Sacramento Kings,2014_323
844,2014-12-11T01:00:00Z,Portland Trail Blazers at Minnesota Timberwolves Tickets,9107951,Portland Trail Blazers,Minnesota Timberwolves,2014_345
845,2015-02-12T01:30:00Z,Utah Jazz at Dallas Mavericks Tickets,9107130,Utah Jazz,Dallas Mavericks,2015_043
846,2014-12-05T01:00:00Z,Cleveland Cavaliers at New York Knicks Tickets,9106808,Cleveland Cavaliers,New York Knicks,2014_339
847,2014-12-19T01:30:00Z,New Orleans Pelicans at Houston Rockets Tickets,9107280,New Orleans Pelicans,Houston Rockets,2014_353
848,2015-04-10T00:00:00Z,Chicago Bulls at Miami Heat Tickets,9107285,Chicago Bulls,Miami Heat,2015_100
849,2015-03-09T23:30:00Z,Boston Celtics at Miami Heat Tickets,9107265,Boston Celtics,Miami Heat,2015_068
850,2014-11-29T00:30:00Z,Milwaukee Bucks at Detroit Pistons Tickets,9107938,Milwaukee Bucks,Detroit Pistons,2014_333
851,2015-02-24T01:00:00Z,Minnesota Timberwolves at Houston Rockets Tickets,9107270,Minnesota Timberwolves,Houston Rockets,2015_055
852,2014-11-09T23:00:00Z,Utah Jazz at Detroit Pistons Tickets,9107930,Utah Jazz,Detroit Pistons,2014_313
853,2015-03-18T23:30:00Z,Portland Trail Blazers at Miami Heat Tickets,9107273,Portland Trail Blazers,Miami Heat,2015_077
854,2015-03-20T23:30:00Z,Denver Nuggets at Miami Heat Tickets,9107274,Denver Nuggets,Miami Heat,2015_079
855,2015-03-17T00:00:00Z,Cleveland Cavaliers at Miami Heat Tickets,9107271,Cleveland Cavaliers,Miami Heat,2015_076
856,2015-03-05T01:30:00Z,Sacramento Kings at San Antonio Spurs Tickets,9107440,Sacramento Kings,San Antonio Spurs,2015_064
857,2014-11-29T01:30:00Z,Sacramento Kings at San Antonio Spurs Tickets,9107441,Sacramento Kings,San Antonio Spurs,2014_333
858,2014-11-29T01:00:00Z,Los Angeles Clippers at Houston Rockets Tickets,9107259,Los Angeles Clippers,Houston Rockets,2014_333
859,2015-01-17T00:30:00Z,Chicago Bulls at Boston Celtics Tickets,9107065,Chicago Bulls,Boston Celtics,2015_017
860,2014-11-20T02:30:00Z,Los Angeles Lakers at Houston Rockets Tickets,9107253,Los Angeles Lakers,Houston Rockets,2014_324
861,2014-11-22T01:30:00Z,Los Angeles Lakers at Dallas Mavericks Tickets,9107061,Los Angeles Lakers,Dallas Mavericks,2014_326
862,2015-03-08T00:30:00Z,Sacramento Kings at Miami Heat Tickets,9107261,Sacramento Kings,Miami Heat,2015_067
863,2015-02-03T01:30:00Z,Minnesota Timberwolves at Dallas Mavericks Tickets,9107059,Minnesota Timberwolves,Dallas Mavericks,2015_034
864,2014-12-04T01:00:00Z,Memphis Grizzlies at Houston Rockets Tickets,9107260,Memphis Grizzlies,Houston Rockets,2014_338
865,2014-11-16T01:30:00Z,Minnesota Timberwolves at Dallas Mavericks Tickets,9107055,Minnesota Timberwolves,Dallas Mavericks,2014_320
866,2014-12-06T01:00:00Z,Houston Rockets at Minnesota Timberwolves Tickets,9107946,Houston Rockets,Minnesota Timberwolves,2014_340
867,2014-11-18T01:30:00Z,Philadelphia 76ers at San Antonio Spurs Tickets,9107455,Philadelphia 76ers,San Antonio Spurs,2014_322
868,2014-11-14T01:30:00Z,Philadelphia 76ers at Dallas Mavericks Tickets,9107054,Philadelphia 76ers,Dallas Mavericks,2014_318
869,2015-02-22T00:30:00Z,New Orleans Pelicans at Miami Heat Tickets,9107247,New Orleans Pelicans,Miami Heat,2015_053
870,2014-11-12T01:30:00Z,Sacramento Kings at Dallas Mavericks Tickets,9107050,Sacramento Kings,Dallas Mavericks,2014_316
871,2014-11-09T01:00:00Z,Golden State Warriors at Houston Rockets Tickets,9107245,Golden State Warriors,Houston Rockets,2014_313
872,2015-02-10T00:30:00Z,New York Knicks at Miami Heat Tickets,9107243,New York Knicks,Miami Heat,2015_041
